,symptoms,symptom_ids,symptom_describe
0,복부비만,SS000400,"복부 또는 내장에 과도한 지방이 축적된 상태
"
1,깨어나면 기억하지 못함,SS000270,"기절이나 수면 이후 이전의 일을 기억하지 못하는 것
"
2,관련 장기의 일시적 기능장애,SS000607,"색전이 침범한 환부 인근 장기에 혈액공급이 중단 또는 부족하여 허혈상태에 빠져 제기능을 하지 못하는 상태
"
3,정서 및 행동의 일탈,SS000132,"정해진 영역 또는 본래의 목적에서 벗어난 행동을 함
"
4,낮은 자존감 ,SS000065,"자신의 품위를 스스로 지키는 마음이 부족함
"
5,동공이 흰빛으로 반짝임,SS000193,"눈에 빛을 비출 시 동공이 하얗게 반짝이듯 보임
"
6,"태아, 신생아의 정신 장애",SS000147,"출생 후 신생아에게서 정신장애가 관찰됨
"
7,흉쇄 유돌근의 몽우리,SS000913,"


흉쇄 유돌근에서 만져지는 덩어리



"
8,신생아-백색의 결절,SS000566,"피부 밑에 비정상적인 조직이 강낭콩 크기 정도로 솟아난 것
"
9,모발이 가늘어짐,SS000289,"머리카락의 굵기가 얇음
"
10,복부 통증,SS000398,"배가 아픈 것
"
11,눈 사이가 멀어보임,SS000174,"좌, 우 눈 사이 간격이 넓어 보임
"
12,야간뇨,SS000021,"밤동안 자주 소변이 마려움
"
13,구토,SS000386,"위장 속의 내용물이 식도를 거쳐 입 밖으로 나오는 것
"
14,대변에 벌레 관찰됨,SS000522,"기생충 감염 시 대변에서 작은 벌레가 보임
"
15,안검하수,SS000210,"윗눈꺼풀을 올렸다 내렸다 하는 윗눈꺼풀 올림근의 힘이 약해서 윗눈꺼풀이 아래로 처지는 상태
"
16,긴박뇨,SS000004,"소변이 마려워 참지 못하는 상태
"
17,면포,SS000799,"얼굴, 이마, 콧등에 나타나는 좁쌀 크기의 굳어진 피지 덩어리
"
18,물집,SS000801,"피부에 묽은 액체가 고여 반달모양으로 부풀어 오른 물주머니
"
19,질의 건조함,SS000485,"질 점막이 말라서 습기가 없음
"
20,말더듬,SS000070,"0.5초 이상 지속되는 음이나 음절의 반복
"
21,"삐뚤어진 눈, 코, 입",SS000298,"얼굴 가운데 중심선 기준으로 좌우 대칭이 맞지 않는 눈, 코, 입 상태
"
22,비장비대,SS000405,"비장이 병적으로 커진 상태
"
23,발이 안쪽을 향해 걸음,SS000376,"발 모양이 ""ㅅ"" 모양이 되도록 걸음 
"
24,후각장애,SS000750,"후각에 생긴 이상
"
25,"읽기,쓰기 능력 부족",SS000126,"글을 읽거나 쓰는데 어려움이 있음
"
26,감각 이상,SS000593,"신경전달로의 이상으로 감각이 저하되거나 이상감각이 느껴지는 증상
"
